/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090123.2631.txt
 -23.51 202.19  976.  218.  17 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1  -23.7 N,   202.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      35.9806
      1.00000      35.9806
      3.00000      35.9806
      7.00000      28.1792
      10.0000      24.2752
      20.0000      17.8659
      30.0000      15.3191
      40.0000      14.0384
      50.0000      14.1463
      70.0000      22.2279
      100.000      36.6346
      150.000      46.8686
      200.000      57.1025
      250.000      56.6887
      300.000      57.2932
      350.000      58.2717
      400.000      59.0164
      450.000      57.1120
      500.000      55.2075
      550.000      55.0217
      600.000      53.9344
      650.000      53.4914
      700.000      53.2188
      750.000      52.3583
      800.000      52.2142
      850.000      52.0700
      875.000      53.6033
      900.000      55.1900
      925.000      55.4850
      950.000      55.2067
      975.000      52.2475
      1000.00      52.2475
      1020.00      52.2475
      1040.00      52.2475
      1060.00      52.2475
