/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090118.2349.txt
 -29.72 182.80  977.  331.  15 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1  -29.4 N,   182.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      34.1973
      1.00000      34.1973
      3.00000      34.1973
      7.00000      27.6204
      10.0000      24.1189
      20.0000      18.2049
      30.0000      16.0606
      40.0000      14.7804
      50.0000      14.2916
      70.0000      19.5517
      100.000      32.3919
      150.000      41.2134
      200.000      50.0350
      250.000      58.8565
      300.000      58.8565
      350.000      58.8565
      400.000      62.5132
      450.000      57.9068
      500.000      57.0944
      550.000      50.3861
      600.000      42.3322
      650.000      45.8888
      700.000      46.1422
      750.000      46.3957
      800.000      42.1225
      850.000      41.6520
      875.000      40.4783
      900.000      39.9200
      925.000      40.0167
      950.000      39.7017
      975.000      39.3650
      1000.00      39.3650
      1020.00      39.3650
      1040.00      39.3650
      1060.00      39.3650
