/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090130.1839.txt
  28.52 270.66  979.  162.  20 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1   29.4 N,   270.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      39.7577
      1.00000      39.7577
      3.00000      39.7577
      7.00000      29.5497
      10.0000      25.5052
      20.0000      19.3006
      30.0000      16.4760
      40.0000      14.9448
      50.0000      14.8598
      70.0000      25.3235
      100.000      37.5370
      150.000      57.8929
      200.000      63.0682
      250.000      72.6509
      300.000      84.1670
      350.000      92.1900
      400.000      99.3622
      450.000      98.0570
      500.000      113.444
      550.000      127.316
      600.000      141.239
      650.000      121.517
      700.000      142.933
      750.000      128.601
      800.000      127.153
      850.000      123.988
      875.000      125.458
      900.000      130.045
      925.000      133.310
      950.000      133.577
      975.000      133.675
      1000.00      133.675
      1020.00      133.675
      1040.00      133.675
      1060.00      133.675
