/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090116.2602.txt
  -6.98 192.13  978.  330.  13 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1   -6.6 N,   192.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      40.8296
      1.00000      40.8296
      3.00000      40.8296
      7.00000      31.2514
      10.0000      26.7139
      20.0000      18.4068
      30.0000      14.6764
      40.0000      13.1566
      50.0000      14.9146
      70.0000      29.4135
      100.000      52.2025
      150.000      51.7155
      200.000      51.2286
      250.000      50.7417
      300.000      50.7417
      350.000      50.7417
      400.000      48.2650
      450.000      48.1910
      500.000      49.1250
      550.000      48.4133
      600.000      46.2694
      650.000      48.0463
      700.000      49.8233
      750.000      51.6002
      800.000      53.3771
      850.000      54.7275
      875.000      55.4600
      900.000      55.9467
      925.000      56.4533
      950.000      56.6567
      975.000      57.0633
      1000.00      57.0633
      1020.00      57.0633
      1040.00      57.0633
      1060.00      57.0633
