/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090128.1928.txt
 -14.90 260.04  980.  330.  12 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1  -14.2 N,   260.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      38.8094
      1.00000      38.8094
      3.00000      38.8094
      7.00000      29.7326
      10.0000      25.3832
      20.0000      17.9648
      30.0000      14.6973
      40.0000      13.3922
      50.0000      14.3574
      70.0000      29.2167
      100.000      45.0919
      150.000      49.1092
      200.000      53.1265
      250.000      57.1439
      300.000      57.1439
      350.000      57.1439
      400.000      56.2985
      450.000      66.6258
      500.000      76.9950
      550.000      76.1767
      600.000      70.7289
      650.000      65.3512
      700.000      61.0257
      750.000      63.0288
      800.000      59.0848
      850.000      55.1409
      875.000      53.1689
      900.000      51.1970
      925.000      49.2250
      950.000      48.4933
      975.000      48.3300
      1000.00      48.3300
      1020.00      48.3300
      1040.00      48.3300
      1060.00      48.3300
