/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090126.0617.txt
 -24.48 233.28  981.  330.  13 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1  -23.7 N,   232.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      35.9806
      1.00000      35.9806
      3.00000      35.9806
      7.00000      28.1792
      10.0000      24.2752
      20.0000      17.8659
      30.0000      15.3191
      40.0000      14.0384
      50.0000      14.1463
      70.0000      23.0219
      100.000      33.5555
      150.000      46.9474
      200.000      49.0794
      250.000      51.2114
      300.000      53.3433
      350.000      53.3433
      400.000      50.6442
      450.000      49.7450
      500.000      49.1880
      550.000      48.8426
      600.000      48.4971
      650.000      49.1612
      700.000      52.6157
      750.000      48.6957
      800.000      44.4071
      850.000      44.1075
      875.000      43.4200
      900.000      42.8667
      925.000      43.0267
      950.000      43.0267
      975.000      43.0267
      1000.00      43.0267
      1020.00      43.0267
      1040.00      43.0267
      1060.00      43.0267
