/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090118.2611.txt
 -42.78 174.01  999.  162.  19 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1  -42.6 N,   175.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      29.9760
      1.00000      29.9760
      3.00000      29.9760
      7.00000      25.6829
      10.0000      24.0216
      20.0000      20.1543
      30.0000      17.7460
      40.0000      16.2703
      50.0000      15.1013
      70.0000      16.3373
      100.000      22.6211
      150.000      33.0942
      200.000      18.1367
      250.000      22.8682
      300.000      41.5436
      350.000      54.6169
      400.000      49.9117
      450.000      42.3750
      500.000      43.5550
      550.000      44.5933
      600.000      40.8962
      650.000      37.1328
      700.000      36.8459
      750.000      37.3120
      800.000      37.1811
      850.000      37.4000
      875.000      38.6960
      900.000      40.5743
      925.000      49.7350
      950.000      46.1892
      975.000      46.1892
      1000.00      46.1892
      1020.00      46.1892
      1040.00      46.1892
      1060.00      46.1892
