sitename,lat,lon,presmax,presmin,N
aao,40.142673611111235,271.4109027777782,951.28125,573.0590277777778,8.28125
acg,67.9589230769231,204.2643076923077,907.8692307692307,448.1923076923077,8.938461538461539
act,37.93826086956521,271.88304347826096,951.0260869565218,493.8782608695652,5.843478260869565
bao,40.04,254.97,810.0,555.0,6.0
bgi,42.82,265.5900000000001,922.1515151515151,391.24242424242425,9.666666666666666
bne,40.79589743589746,262.8223931623931,931.0683760683761,370.9145299145299,8.478632478632479
car,40.790980132450144,255.4096026490055,778.0741721854305,385.8596026490066,8.580132450331126
cma,38.844225053078524,285.7123142250533,968.619957537155,372.90445859872614,8.180467091295117
cob,45.025999999999996,267.716,909.5333333333333,338.73333333333335,10.533333333333333
dnd,47.79166666666662,261.42737373737384,908.9949494949495,384.1111111111111,9.454545454545455
eco,40.42818181818183,286.1663636363637,969.4242424242424,671.3333333333334,4.121212121212121
esp,49.426348920863326,233.48861510791346,965.4298561151079,514.1708633093525,9.192446043165468
etl,54.308786982248485,255.05846153846105,903.9378698224853,461.65384615384613,8.680473372781066
ftl,-4.1499999999999995,321.7200000000001,956.0909090909091,599.4545454545455,10.181818181818182
fwi,44.705,268.9925000000001,934.53125,368.5625,10.53125
haa,21.23062500000001,201.08491071428531,933.5178571428571,373.5892857142857,11.321428571428571
hfm,42.538918918918874,287.830180180181,928.9459459459459,381.97297297297297,11.288288288288289
hil,40.02205333333333,272.0766666666663,935.0506666666666,373.58933333333334,10.178666666666667
hip,13.146923076923072,199.85175824175818,923.945054945055,192.3956043956044,9.153846153846153
how,42.2,291.87,996.6666666666666,784.6666666666666,7.333333333333333
inx,39.85448979591837,273.9051020408165,943.8571428571429,843.204081632653,3.5306122448979593
lef,45.969566854990546,269.7926930320154,932.6949152542373,634.3954802259886,7.5668549905838045
mci,40.83181818181818,270.53818181818184,960.5454545454545,739.6363636363636,5.818181818181818
mmp,33.34,241.57,977.0,393.0,13.0
mow,54.89999999999999,35.5,977.375,454.375,10.125
mrc,41.47714285714285,283.99142857142857,895.8571428571429,736.4285714285714,2.4285714285714284
nha,42.92270491803277,289.43934426229566,966.4180327868852,396.98770491803276,8.782786885245901
nsa,69.15869565217392,208.2621739130435,966.2826086956521,694.5869565217391,5.065217391304348
nsk,58.815,255.4975,910.25,429.25,9.25
oil,41.27999999999998,271.06000000000006,907.2894736842105,367.8421052631579,10.131578947368421
pfa,64.95203319502079,211.65246887966782,919.3589211618257,427.42323651452284,9.526970954356846
rta,-21.226550632911366,200.2322784810127,931.7753164556962,484.49367088607596,9.610759493670885
s2k,-23.996363636363636,29.773636363636363,892.6363636363636,385.3636363636364,10.090909090909092
san,-2.8618181818181827,305.08863636363645,977.0454545454545,643.1363636363636,9.227272727272727
sca,32.8403421052632,280.49492105263147,962.8947368421053,356.86052631578946,10.678947368421053
sgp,36.624655929721854,262.46771595900356,951.2489019033675,547.5300146412884,8.594436310395315
tgc,27.695487804878013,263.2630182926828,961.4024390243902,373.3841463414634,10.731707317073171
thd,41.11381578947368,235.7625986842104,955.4078947368421,391.0657894736842,10.358552631578947
tom,10.941923076923072,237.15461538461537,958.8333333333334,246.97435897435898,8.192307692307692
ulb,47.40000000000004,106.0363636363636,842.3636363636364,597.7045454545455,6.0
wbi,41.84728813559317,268.5605649717513,930.2118644067797,370.7118644067797,9.923728813559322
wgc,38.199999999999996,239.89874999999998,978.625,769.5,4.3125
