/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090109.2325.txt
  60.55 247.45  947.  330.  13 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1   59.7 N,   247.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      96.2894
      1.00000      96.2894
      3.00000      96.2894
      7.00000      49.6743
      10.0000      35.6329
      20.0000      21.3600
      30.0000      18.3962
      40.0000      17.2223
      50.0000      16.4919
      70.0000      16.4469
      100.000      20.1240
      150.000      27.9302
      200.000      43.2624
      250.000      68.3815
      300.000      91.8172
      350.000      115.253
      400.000      115.683
      450.000      123.645
      500.000      115.528
      550.000      115.610
      600.000      117.237
      650.000      119.916
      700.000      121.532
      750.000      125.914
      800.000      127.752
      850.000      130.256
      875.000      122.678
      900.000      123.962
      925.000      123.962
      950.000      123.962
      975.000      123.962
      1000.00      123.962
      1020.00      123.962
      1040.00      123.962
      1060.00      123.962
