/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090112.2143.txt
  76.78 204.61  978.  330.  14 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1   76.7 N,   205.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      286.090
      1.00000      286.090
      3.00000      286.090
      7.00000      120.335
      10.0000      66.4619
      20.0000      22.1062
      30.0000      18.0750
      40.0000      17.5597
      50.0000      17.2911
      70.0000      16.2391
      100.000      18.1433
      150.000      25.2292
      200.000      39.4895
      250.000      64.1435
      300.000      85.4023
      350.000      105.280
      400.000      125.158
      450.000      124.682
      500.000      125.379
      550.000      126.916
      600.000      132.453
      650.000      134.276
      700.000      130.153
      750.000      126.029
      800.000      140.028
      850.000      144.942
      875.000      151.960
      900.000      149.860
      925.000      160.797
      950.000      162.927
      975.000      161.995
      1000.00      161.995
      1020.00      161.995
      1040.00      161.995
      1060.00      161.995
