/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090114.2235.txt
  46.78 199.67  941.  331.  13 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1   46.4 N,   200.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      48.9175
      1.00000      48.9175
      3.00000      48.9175
      7.00000      32.5059
      10.0000      27.1625
      20.0000      20.6156
      30.0000      17.9903
      40.0000      16.5293
      50.0000      15.6171
      70.0000      16.6419
      100.000      22.7817
      150.000      30.6722
      200.000      43.6457
      250.000      64.7848
      300.000      91.0505
      350.000      117.316
      400.000      124.594
      450.000      122.753
      500.000      123.068
      550.000      119.030
      600.000      114.991
      650.000      110.953
      700.000      116.565
      750.000      117.559
      800.000      118.708
      850.000      119.894
      875.000      119.787
      900.000      119.383
      925.000      118.667
      950.000      119.137
      975.000      119.137
      1000.00      119.137
      1020.00      119.137
      1040.00      119.137
      1060.00      119.137
