/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090112.2204.txt
  78.12 202.33  975.  162.  15 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1   78.6 N,   202.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      300.392
      1.00000      300.392
      3.00000      300.392
      7.00000      125.084
      10.0000      68.6871
      20.0000      22.0296
      30.0000      17.9841
      40.0000      17.5821
      50.0000      17.3524
      70.0000      16.2852
      100.000      19.4225
      150.000      24.6513
      200.000      28.7758
      250.000      77.3972
      300.000      91.7391
      350.000      99.9098
      400.000      94.2541
      450.000      101.001
      500.000      106.510
      550.000      112.019
      600.000      117.528
      650.000      124.839
      700.000      128.245
      750.000      134.246
      800.000      129.754
      850.000      143.015
      875.000      148.020
      900.000      153.026
      925.000      158.031
      950.000      163.037
      975.000      162.818
      1000.00      162.818
      1020.00      162.818
      1040.00      162.818
      1060.00      162.818
