/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-17.1609.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
  39.30 333.47  978.  188.  14 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8   38.8 N,   332.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      33.6291
      1.00000      33.6291
      3.00000      33.6291
      7.00000      26.9367
      10.0000      23.9548
      20.0000      19.7735
      30.0000      17.5111
      40.0000      16.3618
      50.0000      15.7930
      70.0000      18.4840
      100.000      30.4993
      150.000      56.1822
      200.000      81.8651
      250.000      82.8583
      300.000      79.9087
      350.000      83.4701
      400.000      85.3440
      450.000      80.5089
      500.000      72.6835
      550.000      72.3233
      600.000      73.7436
      650.000      72.8655
      700.000      80.1317
      750.000      90.2980
      800.000      95.9052
      850.000      94.9296
      875.000      94.9296
      900.000      94.9296
      925.000      94.9296
      950.000      94.9296
      975.000      94.9296
      1000.00      94.9296
      1020.00      94.9296
      1040.00      94.9296
      1060.00      94.9296
