/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-17.0908.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
  -0.48 342.30  998.  287.  18 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8   -0.9 N,   342.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      44.4197
      1.00000      44.4197
      3.00000      44.4197
      7.00000      33.3984
      10.0000      29.1547
      20.0000      20.6529
      30.0000      15.2904
      40.0000      14.2264
      50.0000      14.6952
      70.0000      24.2069
      100.000      43.2728
      150.000      66.3682
      200.000      89.4636
      250.000      112.559
      300.000      112.559
      350.000      127.299
      400.000      113.037
      450.000      94.2075
      500.000      104.604
      550.000      122.040
      600.000      148.865
      650.000      220.432
      700.000      263.827
      750.000      185.710
      800.000      219.970
      850.000      165.988
      875.000      145.140
      900.000      140.830
      925.000      128.924
      950.000      120.244
      975.000      118.901
      1000.00      115.805
      1020.00      115.805
      1040.00      115.805
      1060.00      115.805
