/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-20.1708.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
  74.34 297.99  998.  188.  20 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8   74.8 N,   297.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      20.1321
      1.00000      20.1321
      3.00000      20.1321
      7.00000      20.6462
      10.0000      20.1531
      20.0000      20.1309
      30.0000      20.0598
      40.0000      18.8833
      50.0000      17.5916
      70.0000      16.2689
      100.000      18.0910
      150.000      26.3320
      200.000      34.5731
      250.000      91.9861
      300.000      94.0281
      350.000      94.7193
      400.000      100.073
      450.000      153.449
      500.000      181.429
      550.000      236.229
      600.000      137.507
      650.000      121.073
      700.000      136.093
      750.000      107.108
      800.000      107.201
      850.000      94.7176
      875.000      90.0421
      900.000      86.8204
      925.000      86.8837
      950.000      87.6731
      975.000      89.9312
      1000.00      87.6134
      1020.00      87.6134
      1040.00      87.6134
      1060.00      87.6134
