/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-07-29.2009.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
  12.46 239.44  992.  239.  19 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 7   12.3 N,   240.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      42.7579
      1.00000      42.7579
      3.00000      42.7579
      7.00000      32.8192
      10.0000      27.9913
      20.0000      19.2375
      30.0000      15.6466
      40.0000      14.9120
      50.0000      15.7059
      70.0000      25.6949
      100.000      45.5247
      150.000      54.5315
      200.000      63.5384
      250.000      72.5453
      300.000      69.9072
      350.000      68.8988
      400.000      67.6179
      450.000      66.3808
      500.000      69.2147
      550.000      68.9316
      600.000      69.6021
      650.000      68.3337
      700.000      68.0705
      750.000      68.2022
      800.000      68.3327
      850.000      68.5912
      875.000      68.3568
      900.000      67.2432
      925.000      66.8100
      950.000      66.3373
      975.000      66.7840
      1000.00      67.1589
      1020.00      67.1589
      1040.00      67.1589
      1060.00      67.1589
