/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-15.1715.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
 -20.00 336.97  978.  238.  18 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8  -19.9 N,   337.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      33.4751
      1.00000      33.4751
      3.00000      33.4751
      7.00000      26.6860
      10.0000      25.3373
      20.0000      20.0294
      30.0000      16.3975
      40.0000      14.8650
      50.0000      14.5873
      70.0000      21.1852
      100.000      36.6885
      150.000      54.9286
      200.000      73.1687
      250.000      91.4088
      300.000      102.274
      350.000      85.5181
      400.000      68.3588
      450.000      66.4288
      500.000      67.7453
      550.000      70.8803
      600.000      91.9113
      650.000      62.4859
      700.000      80.0350
      750.000      90.1117
      800.000      83.7002
      850.000      87.0319
      875.000      89.9250
      900.000      96.0118
      925.000      100.062
      950.000      102.072
      975.000      97.8134
      1000.00      97.8134
      1020.00      97.8134
      1040.00      97.8134
      1060.00      97.8134
