/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-04.2411.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
  31.62 202.66 1007.  207.  20 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8   31.3 N,   202.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      37.2137
      1.00000      37.2137
      3.00000      37.2137
      7.00000      28.9594
      10.0000      25.2053
      20.0000      19.2095
      30.0000      16.4923
      40.0000      15.4443
      50.0000      15.4237
      70.0000      21.0539
      100.000      36.9797
      150.000      68.8629
      200.000      100.746
      250.000      137.400
      300.000      93.0026
      350.000      89.4419
      400.000      68.1075
      450.000      70.5109
      500.000      86.7359
      550.000      60.0272
      600.000      65.2150
      650.000      60.6099
      700.000      64.0478
      750.000      72.4374
      800.000      75.2766
      850.000      76.7195
      875.000      78.0173
      900.000      78.2305
      925.000      78.1923
      950.000      78.2071
      975.000      78.1647
      1000.00      78.8638
      1020.00      78.8638
      1040.00      78.8638
      1060.00      78.8638
