/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-15.1129.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
 -49.43 300.01  977.  300.  17 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8  -50.2 N,   300.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      43.8304
      1.00000      43.8304
      3.00000      43.8304
      7.00000      29.3142
      10.0000      24.8688
      20.0000      20.0023
      30.0000      18.0127
      40.0000      16.5494
      50.0000      15.5372
      70.0000      15.5577
      100.000      18.5326
      150.000      25.2258
      200.000      39.5172
      250.000      52.8318
      300.000      66.1465
      350.000      65.2588
      400.000      67.5380
      450.000      70.1748
      500.000      68.8322
      550.000      68.5415
      600.000      63.0767
      650.000      56.2767
      700.000      58.0487
      750.000      58.8898
      800.000      58.8691
      850.000      58.5779
      875.000      58.2836
      900.000      58.2304
      925.000      58.7541
      950.000      58.1893
      975.000      58.6322
      1000.00      58.6322
      1020.00      58.6322
      1040.00      58.6322
      1060.00      58.6322
