/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-22.1254.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
  66.68 307.67  955.  359.  12 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8   67.3 N,   307.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      21.1813
      1.00000      21.1813
      3.00000      21.1813
      7.00000      21.2402
      10.0000      20.4478
      20.0000      20.0405
      30.0000      19.8904
      40.0000      18.6500
      50.0000      17.3508
      70.0000      16.1454
      100.000      18.4927
      150.000      26.4871
      200.000      43.7676
      250.000      70.6568
      300.000      84.1895
      350.000      97.7222
      400.000      89.4394
      450.000      114.980
      500.000      157.600
      550.000      191.657
      600.000      164.445
      650.000      171.761
      700.000      108.062
      750.000      106.530
      800.000      101.835
      850.000      104.105
      875.000      101.094
      900.000      101.094
      925.000      101.094
      950.000      101.094
      975.000      101.094
      1000.00      101.094
      1020.00      101.094
      1040.00      101.094
      1060.00      101.094
