/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-03.2209.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
  44.27 200.38 1004.  301.  16 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8   44.5 N,   200.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      30.2176
      1.00000      30.2176
      3.00000      30.2176
      7.00000      25.4373
      10.0000      23.0347
      20.0000      20.0057
      30.0000      18.4015
      40.0000      17.0653
      50.0000      16.0734
      70.0000      17.4462
      100.000      26.4574
      150.000      48.1996
      200.000      63.3713
      250.000      78.5431
      300.000      93.7148
      350.000      93.3573
      400.000      95.9548
      450.000      108.652
      500.000      81.8280
      550.000      70.1846
      600.000      67.5621
      650.000      64.0790
      700.000      64.4962
      750.000      62.5592
      800.000      59.6549
      850.000      63.8091
      875.000      65.4724
      900.000      68.6275
      925.000      66.8175
      950.000      66.7579
      975.000      66.6984
      1000.00      66.6388
      1020.00      66.6388
      1040.00      66.6388
      1060.00      66.6388
