/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-03.2306.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
  38.20 201.59 1014.  239.  20 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8   38.8 N,   202.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      33.6291
      1.00000      33.6291
      3.00000      33.6291
      7.00000      26.9367
      10.0000      23.9548
      20.0000      19.7735
      30.0000      17.5111
      40.0000      16.3618
      50.0000      15.7930
      70.0000      18.9835
      100.000      30.5474
      150.000      54.2558
      200.000      56.4613
      250.000      58.6668
      300.000      61.0544
      350.000      65.2921
      400.000      59.0821
      450.000      69.8194
      500.000      62.5657
      550.000      61.5320
      600.000      62.2097
      650.000      63.3297
      700.000      59.9793
      750.000      60.3013
      800.000      65.8322
      850.000      63.7345
      875.000      64.8609
      900.000      64.3443
      925.000      63.9809
      950.000      63.9224
      975.000      64.7620
      1000.00      64.5186
      1020.00      64.7814
      1040.00      64.7814
      1060.00      64.7814
