/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-07-29.1538.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
  27.02 239.48  924.  275.  16 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 7   27.5 N,   240.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      38.5807
      1.00000      38.5807
      3.00000      38.5807
      7.00000      29.2968
      10.0000      25.4146
      20.0000      19.1320
      30.0000      16.3869
      40.0000      15.4457
      50.0000      15.7490
      70.0000      22.8680
      100.000      42.3191
      150.000      56.8170
      200.000      71.3150
      250.000      85.8129
      300.000      84.3781
      350.000      80.6581
      400.000      73.9120
      450.000      81.9434
      500.000      80.6674
      550.000      85.2791
      600.000      85.1070
      650.000      84.8510
      700.000      73.3738
      750.000      68.8504
      800.000      69.4084
      850.000      63.2285
      875.000      62.1718
      900.000      67.0376
      925.000      68.1239
      950.000      68.1239
      975.000      68.1239
      1000.00      68.1239
      1020.00      68.1239
      1040.00      68.1239
      1060.00      68.1239
