/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-22.1609.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
  53.28 276.17  968.  206.  19 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8   54.0 N,   275.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      25.2793
      1.00000      25.2793
      3.00000      25.2793
      7.00000      23.5340
      10.0000      21.7288
      20.0000      20.0129
      30.0000      19.2387
      40.0000      17.8630
      50.0000      16.5936
      70.0000      16.6465
      100.000      21.9663
      150.000      25.9536
      200.000      29.9409
      250.000      63.3346
      300.000      94.8928
      350.000      94.5412
      400.000      100.028
      450.000      100.823
      500.000      101.413
      550.000      103.166
      600.000      101.622
      650.000      101.200
      700.000      101.091
      750.000      104.964
      800.000      100.729
      850.000      102.054
      875.000      101.924
      900.000      103.240
      925.000      102.568
      950.000      102.060
      975.000      101.720
      1000.00      101.720
      1020.00      101.720
      1040.00      101.720
      1060.00      101.720
