/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-15.1436.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
 -34.36 323.97  988.  250.  19 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8  -35.1 N,   325.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      33.9437
      1.00000      33.9437
      3.00000      33.9437
      7.00000      25.9383
      10.0000      24.8435
      20.0000      20.9664
      30.0000      18.0174
      40.0000      16.1904
      50.0000      15.1067
      70.0000      16.5200
      100.000      24.2994
      150.000      34.9498
      200.000      48.8626
      250.000      62.7754
      300.000      57.0392
      350.000      57.8027
      400.000      60.3367
      450.000      60.5681
      500.000      59.7982
      550.000      59.2524
      600.000      60.9358
      650.000      62.5972
      700.000      69.6434
      750.000      66.5435
      800.000      62.1248
      850.000      56.0500
      875.000      56.6196
      900.000      56.9444
      925.000      55.4362
      950.000      54.7785
      975.000      55.1972
      1000.00      57.2833
      1020.00      57.2833
      1040.00      57.2833
      1060.00      57.2833
