/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-07-29.2114.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
  18.94 239.47  982.  216.  19 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 7   18.0 N,   240.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      41.7023
      1.00000      41.7023
      3.00000      41.7023
      7.00000      31.4523
      10.0000      26.8014
      20.0000      18.9813
      30.0000      15.8923
      40.0000      15.1114
      50.0000      15.7716
      70.0000      24.1741
      100.000      45.3094
      150.000      62.0081
      200.000      78.7068
      250.000      78.0591
      300.000      81.7253
      350.000      68.0495
      400.000      69.5165
      450.000      68.6374
      500.000      62.2988
      550.000      69.9090
      600.000      71.5657
      650.000      78.3089
      700.000      76.9451
      750.000      81.2163
      800.000      72.1937
      850.000      70.5686
      875.000      67.8024
      900.000      70.1139
      925.000      71.6429
      950.000      74.5410
      975.000      75.2242
      1000.00      75.2242
      1020.00      75.2242
      1040.00      75.2242
      1060.00      75.2242
