/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-03.1901.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
  60.62 208.47  973.  300.  17 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8   59.7 N,   207.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      23.0236
      1.00000      23.0236
      3.00000      23.0236
      7.00000      22.3261
      10.0000      21.0276
      20.0000      20.0017
      30.0000      19.5850
      40.0000      18.2642
      50.0000      16.9553
      70.0000      16.3369
      100.000      19.9434
      150.000      31.0871
      200.000      54.5770
      250.000      97.6865
      300.000      140.796
      350.000      257.157
      400.000      246.632
      450.000      201.961
      500.000      177.492
      550.000      248.680
      600.000      179.250
      650.000      168.735
      700.000      106.340
      750.000      85.4300
      800.000      84.5002
      850.000      85.1062
      875.000      85.2913
      900.000      85.7000
      925.000      86.2758
      950.000      86.9770
      975.000      88.4106
      1000.00      88.4106
      1020.00      88.4106
      1040.00      88.4106
      1060.00      88.4106
